id,topic,likes,comments
695707917166339_1005754882828306,3,0,3
695707917166339_1005113469559114,0,0,0
695707917166339_1005398392863955,3,1,4
695707917166339_1005835729486888,1,10,1
695707917166339_1005001729570288,0,2,2
695707917166339_1005754859494975,2,12,0
695707917166339_1005221289548332,3,0,3
695707917166339_1005737406163387,2,1,8
695707917166339_1005175922886202,3,2,0
695707917166339_1005221336214994,0,5,0
695707917166339_1005113389559122,1,0,1
695707917166339_1005221356214992,3,4,6
695707917166339_1005398436197284,0,3,3
695707917166339_1004214649648996,3,21,4
695707917166339_1005001686236959,3,3,3
695707917166339_1004028823000912,2,25,9
695707917166339_1004214662982328,3,8,0
695707917166339_1004737106263417,0,0,7
695707917166339_1004216582982136,1,23,1
695707917166339_1004737222930072,1,2,1
695707917166339_1004216462982148,0,0,0
695707917166339_1004028546334273,2,14,5
695707917166339_1005001699570291,2,0,1
695707917166339_1004737056263422,0,5,4
695707917166339_1004542386282889,3,11,0
695707917166339_1004870122916782,1,0,1
695707917166339_1004214676315660,0,1,0
695707917166339_1004549349615526,3,2,2
695707917166339_1004542419616219,3,0,1
695707917166339_1004214696315658,3,1,9
695707917166339_1004064242997370,3,7,2
695707917166339_1004544599616001,0,0,2
695707917166339_1004737162930078,2,0,2
695707917166339_1004216619648799,1,1,4
695707917166339_1004870092916785,1,1,1
695707917166339_1004543449616116,1,0,1
695707917166339_1004870142916780,1,0,6
695707917166339_1003818616355266,2,0,1
695707917166339_1003950603008734,0,25,1
695707917166339_1003169479753513,0,0,2
695707917166339_1003393246397803,3,0,3
695707917166339_1003393279731133,1,1,2
695707917166339_1003818773021917,3,1,4
695707917166339_1003263863077408,3,1,1
695707917166339_1003393263064468,3,0,1
695707917166339_1004028486334279,1,0,0
695707917166339_1003950729675388,3,0,6
695707917166339_1003393306397797,3,2,6
695707917166339_1003818583021936,3,11,2
695707917166339_1003395923064202,0,0,0
695707917166339_1003263789744082,3,2,7
695707917166339_1003263566410771,3,0,1
695707917166339_1003263533077441,3,0,0
695707917166339_1003393333064461,3,0,0
695707917166339_1003633576373770,3,1,1
695707917166339_1003950686342059,0,3,1
695707917166339_1003265526410575,0,7,3
695707917166339_1003950629675398,0,8,1
695707917166339_1004028536334274,3,23,3
695707917166339_1003393319731129,3,14,0
695707917166339_1003169496420178,1,3,12
695707917166339_1003350123068782,0,0,0
695707917166339_1003169429753518,3,0,1
695707917166339_1002576423146152,1,6,1
695707917166339_1002408813162913,3,0,1
695707917166339_1002436766493451,3,1,4
695707917166339_1002782069792254,3,1,1
695707917166339_1002353723168422,3,3,2
695707917166339_1002473139823147,3,1,0
695707917166339_1002981166439011,3,25,10
695707917166339_1002782039792257,3,3,1
695707917166339_1002576386479489,0,0,3
695707917166339_1003169433086851,3,0,1
695707917166339_1003169453086849,1,25,3
695707917166339_1002436776493450,3,3,0
695707917166339_1002576399812821,1,3,3
695707917166339_1002968866440241,3,8,2
695707917166339_1002968849773576,3,0,1
695707917166339_1002351729835288,3,1,0
695707917166339_1002576406479487,3,1,10
695707917166339_1002782053125589,0,1,1
695707917166339_1002408863162908,0,1,2
695707917166339_1002353736501754,3,10,0
695707917166339_1002968859773575,3,8,1
695707917166339_1002780743125720,3,0,3
695707917166339_1002968836440244,0,7,5
695707917166339_1002782026458925,3,0,0
695707917166339_1001899083213886,3,3,2
695707917166339_1002252133178581,3,17,6
695707917166339_1002074453196349,3,0,1
695707917166339_1002118086525319,3,4,5
695707917166339_1002252153178579,1,2,1
695707917166339_1002351706501957,1,0,0
695707917166339_1002252143178580,2,6,3
695707917166339_1001753196561808,3,13,2
695707917166339_1002118199858641,0,22,5
695707917166339_1002074273196367,3,0,2
695707917166339_1002074619862999,0,0,0
695707917166339_1001873399883121,1,0,5
695707917166339_1001873466549781,1,8,6
695707917166339_1002118176525310,3,11,0
695707917166339_1002118109858650,3,5,0
695707917166339_1001753163228478,1,19,0
695707917166339_1002074423196352,2,6,3
695707917166339_1001873356549792,3,1,3
695707917166339_1001899109880550,3,6,2
695707917166339_1002118189858642,3,0,1
695707917166339_1002351716501956,3,0,2
695707917166339_1002252176511910,3,0,1
695707917166339_1001899096547218,1,0,3
695707917166339_1002259123177882,3,9,1
695707917166339_1002074666529661,3,11,2
695707917166339_1001270593276735,1,3,1
695707917166339_1001681843235610,3,1,1
695707917166339_1001371796599948,3,1,4
695707917166339_1001506149919846,3,0,2
695707917166339_1001753119895149,3,1,2
695707917166339_1001494459921015,1,1,1
695707917166339_1001681909902270,3,8,5
695707917166339_1001371816599946,3,2,1
695707917166339_1001371806599947,1,8,2
695707917166339_1001598799910581,1,0,0
695707917166339_1001371776599950,1,15,1
695707917166339_1001494483254346,0,22,0
695707917166339_1001464786590649,1,5,4
695707917166339_1001596186577509,0,5,3
695707917166339_1001681869902274,3,2,2
695707917166339_1001681936568934,0,4,0
695707917166339_1001753149895146,3,0,0
695707917166339_1001681896568938,2,2,2
695707917166339_1001596183244176,1,25,0
695707917166339_1001753136561814,3,0,2
695707917166339_1001371829933278,3,1,1
695707917166339_1001494469921014,0,25,3
695707917166339_1001598789910582,3,3,3
695707917166339_1001596166577511,3,6,0
695707917166339_1001193976617730,3,4,1
695707917166339_1001270579943403,1,3,1
695707917166339_1000962506640877,0,25,1
695707917166339_1001059299964531,2,2,2
695707917166339_1001059366631191,3,2,9
695707917166339_1001193986617729,0,0,2
695707917166339_1001270533276741,3,0,1
695707917166339_1001193996617728,3,17,4
695707917166339_1001270559943405,3,25,7
695707917166339_1000966919973769,1,7,0
695707917166339_1000962499974211,3,2,3
695707917166339_1001059339964527,3,2,1
695707917166339_1000966906640437,2,0,3
695707917166339_1000797803324014,3,9,3
695707917166339_1000699380000523,3,0,5
695707917166339_1001191903284604,0,0,1
695707917166339_1000797823324012,1,0,5
695707917166339_1000797833324011,1,0,1
695707917166339_1001059359964525,2,2,2
695707917166339_1000797849990676,1,3,5
695707917166339_1000966773307117,3,0,1
695707917166339_1000797789990682,3,3,2
695707917166339_1000701213333673,3,1,2
695707917166339_1000697170000744,0,25,13
695707917166339_1001059293297865,3,3,0
695707917166339_999983026738825,1,10,6
695707917166339_999923550078106,0,0,1
695707917166339_1000456753358119,3,18,1
695707917166339_1000551126682015,3,1,0
695707917166339_1000581706678957,3,4,9
695707917166339_1000186370051824,3,10,1
695707917166339_1000167400053721,3,1,2
695707917166339_999835953420199,2,0,2
695707917166339_1000456783358116,1,0,3
695707917166339_1000193890051072,0,0,1
695707917166339_1000456850024776,1,1,1
695707917166339_1000691153334679,3,7,1
695707917166339_1000193963384398,3,1,2
695707917166339_1000186386718489,3,0,10
695707917166339_1000186346718493,1,0,2
695707917166339_999835986753529,3,0,0
695707917166339_1000456906691437,3,9,1
695707917166339_1000456716691456,3,1,0
